Nº   NOMBRE                      TIPO            CINTA  REGISTRO
325  STARION                     ARCADE          V-23   325
326  JET SET WILLY II            ARCADE          U      326
327  ROLAND'S RAT RACE           ARCADE          W      327
328  SENSO 1                     ARCADE          W      328
329  GAMMA                       ARCADE          W      329
330  KUNG-FU                     ARCADE          W      330
331  Q-ERT                       ARCADE          W      331
332  HOROSCOPO                   UTILIDAD        W      332
333  RB2                         ARCADE          W      333
334  TIRO A TIRO                 ARCADE          W      334
335  LA MANZANA DE NEWTON        ARCADE          W      335
336  TOPO                        ARCADE          W      336
337  QUAZATRON                   ARCADE          W      337
338  FRANKENSTEIN                ARCADE          W      338
339  ROCKY                       ARCADE          W      339
340  STARQUAKE                   VIDEOAVENTURA   X      340
341  MOVIE                       CONVERSACIONAL  X      341
342  ASTERIX Y EL CALDERO MAGICO ARCADE          X-28   342

PULSA SPACE PARA CONTINUAR U OTRA TECLA PARA ACABAR
