Nº   NOMBRE                      TIPO                CINTA   REGISTRO
109  GREMLINS                    CONVERSACIONAL      H       109
110  STRIP POKER                 JUEGO DE MESA       H       110
111  BUGABOO                     ARCADE              H       111
112  SKOOL DAZE                  ARCADE              H-W     112
113  HYPERSPORTS                 ARCADE              H-32    113
114  TAPPER                      ARCADE              H-23    114
115  SPORT HERO                  ARCADE              I       115
116  BOOTY                       ARCADE              I       116
117  PAINTER                     ARCADE              I       117
118  INVADERS                    ARCADE              I       118
119  AIRWOLF                     ARCADE              I       119
120  WORSE SEA                   ARCADE              I       120
121  JET SET WILLY               ARCADE              I       121
122  SNAKE PIT                   ARCADE              I       122
123  BILLAR                      S. DEPORTIVO        I       123
124  ROCKS                       ARCADE              I       124
125  TIR NA NOG                  VIDEOAVENTURA       I       125
126  RAID OVER MOSCOW            ARCADE              I       126

PULSA SPACE PARA CONTINUAR U OTRA TECLA PARA ACABAR
