Nº    NOMBRE                      TIPO            CINTA  REGISTRO
361   SWEVO’S WORLD               VIDEOAVENTURA      Z     361
362   THAT'S THE SPIRIT           VIDEOAVENTURA   Z-24    362
363   THE TRANSFORMERS            ARCADE             Z     363
364   FINDERS KEEPERS             VIDEOAVENTURA      Z     364
365   ELITE                       ARCADE           Z-20    365
366   JUGGERNAUT                  SIMULADOR          D     366
367   STAINLESS STEEL             ARCADE             D     367
368   TWISTER                     ARCADE             D     368
369   1942                        ARCADE             D     369
370   HARDBALL                    S. DEPORTIVO       D     370
371   BOUNDER                     ARCADE             D     371
372   STREET HAWK                 ARCADE             D     372
373   THANATOS                    ARCADE             D     373
374   TOP GUN                     ARCADE             D     374
375   SURVIVAL                    JUEGO DE MESA      D     375
376   MAKE A CHIP                 UTILIDAD           D     376
377   MELBOURNE DRAW II           UTILIDAD           D     377
378   THE GOONIES                 ARCADE             D     378

PULSA SPACE PARA CONTINUAR U OTRA TECLA PARA ACABAR
